Año;Mes de choque;Rango horario;Cantidad de lesionados;Lugar del accidente;Coordenada X;Coordenada Y
2016;Junio;0 a 5:59;1;GARAY Y RIO DE JANEIRO;5435719,05;6352682,55
2016;Septiembre;0 a 5:59;1;OROÑO Y SEGUI;5438161,8;6351644,86
2016;marzo;0 a 5:59;1;AYACUCHO 6599;5440677.849883937;6347406.876598163
2016;Octubre;0 a 5:59;1;ESPAÑA Y ZEBALLOS;5439347,49;6354188,32
2016;Enero;0 a 5:59;1;CIRCUNVALACION Y URIBURU;5434425,189;6349866,323
2016;Diciembre;0 a 5:59;2;MONTEVIDEO Y OROÑO;5438685,44;6354191
2016;Septiembre;0 a 5:59;1;DEL VALLE Y PICHINCHA;5438269.08;6356670.18
2016;Septiembre;0 a 5:59;1;BALCARCE Y RIOJA;5439009,1;6355117,84
2016;Noviembre;0 a 5:59;1;GARAY 400;5440597,27;6351690,43
2016;marzo;0 a 5:59;1;RIVAROLA 7650;5432401,137;6352759,043
2016;FEBRERO;0 a 5:59;3;DONADO Y MENDOZA;5432014,88;6355567,53
2016;Enero;0 a 5:59;1;ARIJON Y OVIDIO LAGOS;5436815,773;6348589,16
2016;Noviembre;0 a 5:59;1;25 DE MAYO Y BAIGORRIA;5432676,38;6360772,15
2016;Septiembre;0 a 5:59;1;EVA PERON Y GUTENBERG;5435726.01;6355926.87
2016;Diciembre;0 a 5:59;1;CAESAR Y DANTE ALIGHIERI;5438072,04;6353232,01
2016;Octubre;0 a 5:59;1;3 DE FEBRERO 3200;5437481,46;6354843,9
2016;Junio;0 a 5:59;1;RONDEAU Y YRIGOYEN;5434901.03;6361816.23
2016;Diciembre;0 a 5:59;1;ECUADOR Y RIOBAMBA;5433204,71;6354027,94
2016;Diciembre;0 a 5:59;1;AVELLANEDA Y CORDOBA;5436490,11;6355769,82
2016;Diciembre;0 a 5:59;1;ARIJON Y MORENO;5438142,2;6348645,71
2016;Noviembre;0 a 5:59;1;SANCHEZ DE LORIA Y SCHWEITZER;5431442,92;6358551,5
2016;marzo;0 a 5:59;1;JUNIN 2000;5435339,667;6357117,955
2016;Julio;0 a 5:59;1;1 DE MAYO Y 3 DE FEBRERO;5440972,81;6354119,64
2016;Julio;0 a 5:59;1;EVA PERON Y SOLIS;5434193.09;6356243.09
